,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
3086,106597,DSP World Gold Fund - Regular Plan - Growth,10.0496,INF740K01250,,21-Jan-2009,9.9491,10.2757
3087,106596,DSP World Gold Fund - Regular Plan - IDCW,10.0496,INF740K01268,INF740K01276,21-Jan-2009,9.9491,10.2757
3089,107988,HSBC Global Emerging Markets Fund - Growth,5.5198,INF336L01446,,21-Jan-2009,5.4646,5.6578
3090,107989,HSBC Global Emerging Markets Fund - IDCW,5.5198,INF336L01438,INF336L01420,21-Jan-2009,5.4646,5.6578
3092,106441,Kotak Global Emerging Market Fund - Growth,4.905,INF174K01DV3,,21-Jan-2009,4.905,4.905
3093,106442,Kotak Global Emerging Market Fund - Payout of Income Distribution cum capital withdrawal option,4.905,INF174K01DX9,INF174K01DW1,21-Jan-2009,4.905,4.905
3095,102336,Principal Global Opportunities Fund- Income Distribution CUM Capital Withdrawal Option,9.2793,INF173K01CQ7,INF173K01CR5,21-Jan-2009,9.1865,9.5113
3096,102337,Principal Global Opportunities Fund-Growth Option,9.2793,INF173K01CT1,,21-Jan-2009,9.1865,9.5113
3098,106370,Sundaram Global Brand Fund Regular Plan - Growth,6.0376,INF903J01EX1,,21-Jan-2009,5.947,6.2036
3099,106369,Sundaram Global Brand Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),6.0377,INF903J01EY9,INF903J01EZ6,21-Jan-2009,5.9471,6.2037
3102,101657,Franklin India Dynamic Asset Allocation Fund of funds - IDCW ,22.0164,INF090I01247,INF090I01254,21-Jan-2009,22.0164,22.5118
3103,101656,Franklin India Dynamic Asset Allocation Fund of Funds-Growth,22.0164,INF090I01262,,21-Jan-2009,22.0164,22.5118
3104,102108,Franklin India Life Stage Fund of Funds - 20's Plan - IDCW ,17.9587,INF090I01577,,21-Jan-2009,17.9587,17.9587
3105,102107,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 20S PLAN (G),17.9587,INF090I01593,,21-Jan-2009,17.9587,17.9587
3106,102110,Franklin India Life Stage Fund of Funds - 30's Plan - IDCW ,16.214,INF090I01601,,21-Jan-2009,16.214,16.214
3107,102109,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 30S PLAN (G),16.214,INF090I01627,,21-Jan-2009,16.214,16.214
3108,102111,Franklin India Life Stage Fund of Funds - 40's Plan - IDCW ,11.8309,INF090I01635,,21-Jan-2009,11.8309,11.8309
3109,102112,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 40S PLAN (G),14.3971,INF090I01650,,21-Jan-2009,14.3971,14.3971
3110,102546,Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - IDCW ,11.0473,INF090I01692,,21-Jan-2009,11.0473,11.1025
